Company,WeekDay,Date Sold,Description,Qty Sold,Total Sales,Customer Zip,Phone,Address,City
2312,7,"Saturday, March 21, 2015",BP BLACK MARLIN 1/2 KEG,1,149.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,7,"Saturday, March 21, 2015",BP GRAPEFRUIT SCULPIN 12OZ NR,4,167.8,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,7,"Saturday, March 21, 2015",BP SCULPIN IPA 1/2 KEG,1,211.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,6,"Friday, October 23, 2015",BP GRAPEFRUIT SCULPIN 1/2 KEG,1,214.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,6,"Friday, October 30, 2015",BP CALICO AMBER 1/2 KEG,1,154.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,4,"Wednesday, November 18, 2015",BP PALE ALE 1/2 KEG,1,154.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,2,"Monday, December 7, 2015",BP GRAPEFRUIT SCULPIN 12OZCANS,1,41.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,6,"Friday, December 18, 2015",BP GRAPEFRUIT SCULPIN 12OZCANS,2,83.9,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,6,"Friday, December 18, 2015",BP LONGFIN LAGER 1/2 KEG,1,154.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,1,"Sunday, January 10, 2016",BP GRAPEFRUIT SCULPIN 12OZCANS,2,83.9,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,2,"Monday, February 1, 2016",BP MANGO EVEN KEEL 12OZ CANS,1,31.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,2,"Monday, February 1, 2016",BP PINEAPPLE SCULPIN 1/2 KEG,1,214.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
2312,4,"Wednesday, February 10, 2016",BP WATERMELON DORADO 12OZ NR,1,41.95,19026,610-626-9900,2312 Garret Road,Drexel Hill
12 Steps Down,2,"Monday, March 23, 2015",BP LONGFIN LAGER 24/12OZ CAN,0,0,19147,215-238-0379,831 Christian St.,Philadelphia
