company,Top-Sale,Top-Day,Second-Sale,Second-Day,Third-Sale,Third-Day
BAR HYGGE,1, 'Wed',,,,
McMenamins Tavern,2, 'Tue',,,,
WEGMANS MONTGOMERYVILLE,29, 'Sun',19, 'Fri',11, 'Mon'
Perch Pub,20, 'Tue',3, 'Fri',2, 'Wed'
Royal Tavern,2, 'Wed',1, 'Sat',,
Spaz Beverage,20, 'Tue',11, 'Mon',6, 'Fri'
Kennett Restaurant,1, 'Fri',,,,
Trenton Road Takeout,45, 'Mon',24, 'Fri',2, 'Tue'
ASHTON BEVERAGE CO.,2, 'Tue',1, 'Mon',,
TIFFANYS TAP AND GRILL,2, 'Tue',,,,
Towamencin Beverage,20, 'Wed',18, 'Fri',3, 'Tue'
BROWN ST PUB,5, 'Fri',3, 'Tue',2, 'Wed'
Grey Lodge Pub,5, 'Tue',1, 'Wed',,
WEGMANS MALVERN,34, 'Sun',11, 'Mon',10, 'Sat'
THE FINAL SCORE,1, 'Tue',,,,
Bailey's Bar & Grill,6, 'Mon',4, 'Sun',3, 'Wed'
Philly Steaks & Beer,23, 'Fri',17, 'Mon',5, 'Tue'
Beer Mill,20, 'Mon',8, 'Tue',6, 'Fri'
Bridgeport Beer,7, 'Fri',6, 'Mon',3, 'Tue'
Arena Bar & Grill,1, 'Wed',,,,
CHICKIES & PETE'S PARX (%%),1, 'Mon',,,,
Lamb Beverage,12, 'Tue',2, 'Thu',1, 'Wed'
Jessup Beverage,6, 'Tue',,,,
Amity 1st Stop Beverage,2, 'Tue',1, 'Thu',,
HIGHLAND BEVERAGE,2, 'Fri',1, 'Wed',,
GANLY'S PUB,8, 'Fri',3, 'Tue',1, 'Wed'
Newtown Beer Store,20, 'Wed',9, 'Mon',8, 'Fri'
Drinker Biddle & Reath(9$9$),1, 'Tue',,,,
DRAKES TAVERN,1, 'Fri',,,,
GIANT NEW HOPE,3, 'Sun',2, 'Tue',1, 'Sat'
ACME CONCORDVILLE,9, 'Thu',8, 'Mon',5, 'Tue'
VIA MARCONI SMOKEHOUSE,2, 'Mon',1, 'Fri',,
KUTZTOWN BOTTLING WORKS,2, 'Tue',,,,
Nectar,2, 'Thu',1, 'Wed',,
50 YARD LINE,1, 'Tue',,,,
Black Taxi,2, 'Sun',1, 'Wed',,
Bill Murphy's Irish Saloon,4, 'Fri',2, 'Thu',,
CARMINE PIZZA,2, 'Tue',1, 'Mon',,
Madonna Beverage,2, 'Wed',1, 'Tue',,
Locust Deli,11, 'Fri',6, 'Sat',4, 'Mon'
Fries Rebellion,3, 'Thu',2, 'Wed',1, 'Mon'
Cantina - Los Caballitos,2, 'Wed',,,,
MADIRA BAR & GRILL,2, 'Tue',1, 'Wed',,
Weis Lansdale,6, 'Fri',4, 'Wed',1, 'Thu'
Boccellas,18, 'Fri',8, 'Sun',5, 'Tue'
BUTCHER & BARKEEP,5, 'Fri',4, 'Wed',3, 'Tue'
Liberty Bell Bev (Allentown),15, 'Tue',3, 'Fri',2, 'Wed'
Family Beverage,32, 'Fri',16, 'Mon',11, 'Sun'
Jerry's Bar,3, 'Mon',2, 'Wed',1, 'Tue'
Han Dynasty OLD CITY,5, 'Fri',4, 'Wed',2, 'Mon'
Cocco's Pizza,4, 'Tue',1, 'Wed',,
CHICKIES & PETE'S DREXEL (%%),2, 'Mon',,,,
LUDWIGS GRILL & OSTER BAR,3, 'Tue',,,,
Tavern on Liberty (STEVE),26, 'Tue',2, 'Wed',1, 'Sat'
Kunda Beverage,31, 'Mon',16, 'Fri',5, 'Tue'
ALOOSH,1, 'Fri',,,,
Monde Market,16, 'Fri',3, 'Wed',2, 'Sun'
FRONT STREET CAFE,3, 'Mon',1, 'Wed',,
Broomall Beverage,2, 'Wed',,,,
Horse Tavern,7, 'Fri',6, 'Tue',3, 'Wed'
Mac's Tavern,4, 'Wed',,,,
Beer Super Inc.,1, 'Fri',,,,
PENNSUBRG BEER AND SODA ,3, 'Tue',2, 'Fri',1, 'Wed'
Khyber Pass ,3, 'Fri',2, 'Tue',1, 'Wed'
Manny Browns,2, 'Mon',1, 'Tue',,
Beverage World,10, 'Mon',4, 'Tue',,
CHURCHVILLE INN,7, 'Fri',6, 'Mon',5, 'Wed'
PUSS N' BOOTS,1, 'Wed',,,,
Back Alley Beverage,11, 'Mon',10, 'Tue',4, 'Wed'
Sabatini's,23, 'Fri',16, 'Tue',14, 'Mon'
Supper (99),1, 'Thu',,,,
Franklin,12, 'Fri',3, 'Wed',,
Jon's Bar & Grill,8, 'Fri',3, 'Tue',2, 'Mon'
Cold Spring Beverages,11, 'Mon',7, 'Wed',6, 'Tue'
Audubon Beverage,2, 'Wed',1, 'Sat',,
ICE COLD BEER HERE,2, 'Tue',1, 'Thu',,
Chester County Beverage,2, 'Mon',1, 'Tue',,
County Beverage,3, 'Tue',1, 'Mon',,
BAR-LY,2, 'Tue',1, 'Wed',,
Beverage Stop,1, 'Mon',,,,
Javie's Beer Distributor ,10, 'Tue',8, 'Mon',3, 'Thu'
GIANT WEST CHESTER,13, 'Sun',4, 'Fri',2, 'Tue'
Bell Hall,3, 'Wed',,,,
TAQUERIA FELIZ HORSHAM,2, 'Tue',1, 'Mon',,
Barnaby's Of America HAVERTOWN,2, 'Tue',,,,
BEER LOVE(%%%%),6, 'Sat',4, 'Sun',2, 'Wed'
Beer Yard,32, 'Fri',30, 'Sun',21, 'Mon'
North Penn Beverage,26, 'Fri',15, 'Mon',3, 'Tue'
PJ WHELIHANS WEST CHESTER,1, 'Tue',,,,
Craft Beer Outlet Philadelphia,19, 'Tue',16, 'Fri',6, 'Mon'
Milk Boy(9999),2, 'Thu',1, 'Wed',,
The Bottle Shop,17, 'Fri',10, 'Wed',4, 'Sat'
WEGMANS COLLEGEVILLE,52, 'Sun',10, 'Mon',4, 'Fri'
Trestle Inn ,3, 'Fri',,,,
Cambridge,17, 'Mon',10, 'Tue',5, 'Fri'
Buy-Rite Beverage ,4, 'Thu',2, 'Fri',1, 'Wed'
Backyard Alehouse,12, 'Tue',3, 'Fri',2, 'Thu'
Stone's Beverage ,3, 'Tue',2, 'Mon',1, 'Thu'
Food & Friends Market,16, 'Thu',7, 'Wed',4, 'Fri'
Aramark At Citizens Bank Park,1, 'Sat',,,,
ALSACE ALES,1, 'Mon',,,,
Taphouse 23,4, 'Thu',2, 'Wed',1, 'Tue'
Brewers Outlet - Chadds Ford,11, 'Mon',10, 'Fri',8, 'Tue'
Beer Co,6, 'Fri',4, 'Thu',2, 'Wed'
2312,3, 'Fri',2, 'Wed',1, 'Sun'
Tornetta's Pizza,3, 'Wed',1, 'Thu',,
Roots Cafe,5, 'Mon',1, 'Tue',,
Zavino Midtown,2, 'Tue',1, 'Wed',,
McCloskey's  Tavern,7, 'Mon',2, 'Tue',,
Heirloom,1, 'Tue',,,,
Blind Pig,1, 'Mon',,,,
Kennett Beverage,2, 'Wed',1, 'Tue',,
BROWNIE'S PUB,2, 'Fri',,,,
Sellersville Beverage,8, 'Mon',5, 'Wed',2, 'Fri'
HORSHAM PUB,2, 'Mon',,,,
T.J.'s Drinkery,21, 'Fri',10, 'Tue',6, 'Mon'
Bridgewaters,3, 'Fri',2, 'Wed',1, 'Mon'
Hatfield Beverage,3, 'Mon',2, 'Tue',1, 'Wed'
INVENTORY ,15, 'Tue',12, 'Thu',10, 'Sun'
Beer Heaven,21, 'Fri',11, 'Mon',10, 'Sat'
UNION TAP NORTHEAST,3, 'Wed',2, 'Fri',1, 'Thu'
PIKES CREEK BEV,1, 'Tue',,,,
Fairway Beverage,5, 'Tue',3, 'Wed',2, 'Mon'
PJ WHELIHANS BLUE BELL,3, 'Mon',,,,
Barren Hill,3, 'Tue',1, 'Wed',,
Narberth Beverage Co.,18, 'Mon',8, 'Fri',4, 'Tue'
Opa Restaurant ($%$%),1, 'Mon',,,,
Crown Plaza,1, 'Tue',,,,
Global Beer Distributors(9999),85, 'Mon',79, 'Tue',17, 'Wed'
Beast And Ale,3, 'Mon',1, 'Fri',,
Park Towne Beverage,14, 'Mon',12, 'Wed',9, 'Fri'
OTOWN CRAFT HOUSE,1, 'Tue',,,,
High Street Cafe,4, 'Tue',1, 'Sat',,
Craft Beer Store Springfield,1, 'Thu',,,,
Sto's Bar,1, 'Sun',,,,
Frankford Hall (9999),1, 'Tue',,,,
REDHOUND GRILLE,2, 'Tue',,,,
VIP Market,37, 'Fri',21, 'Tue',17, 'Sat'
Pasquale's Sports Bar,2, 'Thu',1, 'Wed',,
ACME GRANITE RUN,21, 'Sun',14, 'Tue',8, 'Mon'
Green Rock Tavern,2, 'Wed',1, 'Mon',,
CAPITOL BEER,5, 'Thu',3, 'Mon',1, 'Tue'
WEIS CONSHOHACKEN,19, 'Sun',8, 'Fri',4, 'Mon'
ACME RED LION ROAD,2, 'Mon',,,,
Stadium Express,2, 'Fri',1, 'Wed',,
Tashan ,1, 'Tue',,,,
CLEAVERS,2, 'Thu',1, 'Wed',,
GIULIANO'S DELI,6, 'Wed',3, 'Thu',1, 'Tue'
Devil's Den (9999),8, 'Wed',7, 'Tue',3, 'Thu'
CASK BISTRO AND TAP,1, 'Wed',,,,
GREAT AMERICAN PUB PAOLI,1, 'Tue',,,,
Tria - Rittenhouse,7, 'Mon',2, 'Tue',1, 'Fri'
Krewstown Beverage Center,13, 'Fri',7, 'Sat',4, 'Wed'
Allegro Pizza,1, 'Thu',,,,
